小区名,价格,售卖数
新地中央,暂无,0
金洪观荟二期（重复盘待删除）,暂无,0
深城投中心公馆,暂无,0
凯欣园,暂无,0
魔方公寓,暂无,0
信义金御半山三期,暂无,0
国展苑二期,34691,0
侨苑公寓B座(无效楼盘),56299,0
牧云溪谷,暂无,0
智富特区,暂无,0
佳兆业中心壹号,暂无,0
中粮大悦城,暂无,0
汽车大厦,暂无,0
宝荷欣苑,暂无,0
香江西苑,暂无,0
观澜高尔夫,暂无,0
锦绣华天茗苑,暂无,0
悦心园,暂无,0
留仙居南区,暂无,0
荷谷美苑,暂无,0
珍奇景苑,暂无,0
红山6979,暂无,0
中熙香莎公馆,暂无,0
倚荔楼,暂无,0
安岚苑,暂无,0
香林世纪华府,暂无,0
创新花园,暂无,0
水务局宿舍,暂无,0
华盛苑,暂无,0
东立花园,暂无,0
南岭中心大厦,暂无,0
金领假日公寓,暂无,0
福民楼,暂无,0
教育福星苑,暂无,0
金穗花园,暂无,0
汽车配件宿舍,暂无,0
蘅芳苑小区,暂无,0
金和豪苑,暂无,0
民政公寓,暂无,0
珠光大厦,暂无,0
南苑,暂无,0
南龙苑,暂无,0
蔚蓝海湾苑,暂无,0
恩上村商住楼,暂无,0
祥和山庄,暂无,0
优可LOFT公寓,暂无,0
京基南约项目,暂无,0
湖润大厦,暂无,0
松园西街48号,暂无,0
滨河中学宿舍,暂无,0
碧岭居,暂无,0
盈丰大厦,暂无,0
金钻华庭,暂无,0
蚝二西海岸,暂无,0
航城星座公馆,暂无,0
干警楼,暂无,0
鸿盛花园,暂无,0
山美新村大厦,暂无,0
鸿都连锁公寓,暂无,0
东宝华庭,暂无,0
美庭花园,暂无,0
文澜苑,暂无,0
经富园,暂无,0
万顺苑,暂无,0
商业街76号,暂无,0
金达科技中心,暂无,0
银湖庄园,暂无,0
天峦湖二期,暂无,0
前航SOHO都市公寓,暂无,0
梅林小学教工宿舍,暂无,0
民治天虹恒润小居,暂无,0
合正观澜综合体,暂无,0
宝安上川保障房项目,暂无,0
农牧小区,暂无,0
蚝二西海岸,暂无,0
鸿盛花园,暂无,0
山美新村大厦,暂无,0
松新石岗大楼,暂无,0
杏园居,暂无,0
蔚蓝海湾苑,暂无,0
恩上村商住楼,暂无,0
祥和山庄,暂无,0
汇龙峰景,暂无,0
海宁阁,暂无,0
深圳市面粉公司,暂无,0
裕盛华庭,暂无,0
城市公寓,暂无,0
四海锦园.欣寓,暂无,0
松园西街50号,暂无,0
田贝四路125号,暂无,0
洪湖二街25号,暂无,0
田贝四路116号,暂无,0
工业七路75号综合楼,暂无,0
街景楼,暂无,0
梅山苑一期,暂无,0
坭岗工业小区,暂无,0
宝岗路220铁路小区,暂无,0
荣生小区,暂无,0
星语公寓,暂无,0
青艺综合楼,暂无,0
边检一大院2期,暂无,0
南方大厦,暂无,0
粤兴工业园,暂无,0
向景楼,暂无,0
紫旻阁,暂无,0
龙眼园44号,暂无,0
设计院,暂无,0
华康大厦,暂无,0
金融路63号,暂无,0
沙头村,暂无,0
盐法大楼,暂无,0
元墩头市场公变,暂无,0
云汉路8号,暂无,0
暗径西村11号,暂无,0
大华商务大厦,暂无,0
京南工业区,暂无,0
海鹏种养场,暂无,0
民企科技园,暂无,0
松园路15号,暂无,0
绿景天玺湾项目,暂无,0
梓盛发·创意新城,暂无,0
华发大厦,暂无,0
海悦花园,暂无,0
上沙花园,暂无,0
元墩西街2号,暂无,0
文华花园大鹏半岛,暂无,0
滨海盛世名苑,暂无,0
建设路17号,暂无,0
松园东3巷5号,暂无,0
红桂大厦,暂无,0
多丽工业区,暂无,0
龙胜科技楼,暂无,0
向南路21号,暂无,0
御景尚筑轩,暂无,0
锦园1号,暂无,0
布心村,暂无,0
沙头角免税公司宿舍,暂无,0
利宝大厦,暂无,0
深圳中学教工宿舍,暂无,0
向南路21号,暂无,0
御景尚筑轩,暂无,0
锦园1号,暂无,0
布心村,暂无,0
沙头角免税公司宿舍,暂无,0
利宝大厦,暂无,0
嘉年大院,暂无,0
圣廷苑酒店,暂无,0
蛇口综合楼,暂无,0
庭威33创谷,暂无,0
1970文化创意产业园,暂无,0
文谷庄园,暂无,0
翡翠岛,暂无,0
德弘基创客居,暂无,0
粤农大厦,暂无,0
英伦国际公寓,暂无,0
南玻电子大楼,暂无,0
华能大厦,暂无,0
汤坑第一工业区,暂无,0
诗宁别墅,暂无,0
东环大厦,暂无,0
匯龍·公馆,暂无,0
翠景园,暂无,0
德莹小筑,暂无,0
莲塘派出所宿舍,暂无,0
光辉科技园宿舍楼,暂无,0
盛旺家园,暂无,0
方正芯苑,暂无,0
星曜名城,暂无,0
新田创新工业园宿舍,暂无,0
军田路39号B院,暂无,0
西头东苑,暂无,0
宝富花园,暂无,0
鹏发工业园宿舍A区,暂无,0
幸福·花园里,暂无,0
豪展阁,暂无,0
嘉昇苑,暂无,0
吉昌公寓,暂无,0
银星高科技工业园宿舍楼,暂无,0
玉山公寓,暂无,0
新田创新工业园宿舍,暂无,0
宝和苑,暂无,0
帝利花园,暂无,0
荔景生活区,暂无,0
锦绣小区,暂无,0
宇宏公元盛世,暂无,0
金荔花园,暂无,0
清雅苑,暂无,0
乐园楼,暂无,0
河滨花园,暂无,0
聯發商厦,暂无,0
星曜名城,暂无,0
创新华庭,暂无,0
滨江花园,暂无,0
观汇嘉园,暂无,0
潮回楼,暂无,0
乔兴楼,暂无,0
盐田出入境边防检查站生活区,暂无,0
宝富花园,暂无,0
观汇嘉园,暂无,0
乔兴楼,暂无,0
盐田出入境边防检查站生活区,暂无,0
骏苑,暂无,0
天韵阁,暂无,0
依涛居,暂无,0
马安山花园,暂无,0
共创盈公馆,暂无,0
大光勘统建楼,暂无,0
天欣花园,暂无,0
民兴苑,暂无,0
翠岭华庭,暂无,0
龙悦居四期,暂无,0
雅庭居花园,暂无,0
永利大厦,暂无,0
芙景豪庭,暂无,0
新空气公寓,暂无,0
农行后院,暂无,0
铂金公寓,暂无,0
冠铭雅苑一期,暂无,0
德馨苑,暂无,0
汇合隆大厦,暂无,0
新橋豪苑,暂无,0
百旺苑,暂无,0
安居园,暂无,0
优城南区,暂无,0
嘉濠公寓,暂无,0
贵苑,暂无,0
和鹏苑,暂无,0
协纵青年公寓,暂无,0
东莞外贸大厦,暂无,0
向南茗苑,暂无,0
海滨小区,暂无,0
倚龙华庭,暂无,0
宝佳花园,暂无,0
福荣阁,暂无,0
冠寓松果（水湾商贸大厦店）,暂无,0
南澳湾花园,暂无,0
雲海之家,暂无,0
溢馨院,暂无,0
笋岗中队家属楼,暂无,0
名墅海景,暂无,0
大信大厦,31822,10
红桂二街一号大院,56714,1
都汇中心,暂无,0
洪一二邨,50525,4
海关宿舍二院,42941,1
桂花大厦,42073,3
红裙楼,49637,0
红岭集团大院,54770,0
蔡屋围南村,暂无,0
滨苑小区,70812,2
青橙时代,55968,5
淘金山一期,69493,11
心怡花园,48360,8
阳光明居,56591,10
金祥都市花园,38301,22
福民佳园,65592,2
洪湖二街14号大院,56308,2
景源华庭,59891,13
时代星居,75860,1
水围新家园,55074,0
水围龙轩豪庭,70106,8
英协大厦,39238,2
银庄大厦,45871,11
金豪花园,43025,4
华明楼,45561,6
万科桂苑,61337,4
清水河生活小区,37579,0
雅仕居,44684,23
南方国际广场,57401,4
景亿山庄,暂无,0
中央花园,58682,1
百仕达花园二期,58633,23
鸿园居,46970,13
燃气小区,71059,0
河东苑,暂无,0
爵士大厦,35190,1
海关宿舍一院,50852,1
洪湖二街50号院,暂无,0
洪湖二街6号大院,51096,0
宝明花园,暂无,1
源兴居,50232,34
贝丽花园,54466,3
布心特检生活小区,暂无,0
天健阳光华苑,74432,5
英达花园,37565,2
福泉花园,49422,4
皇岗花园大厦,45488,4
嘉意台,55556,3
紫荆苑,65602,5
五矿宿舍,79839,0
深城公寓,45516,30
艺丰花园D区,45361,2
马古岭小区,56782,1
五金花园,暂无,1
福源花园一期,48236,5
福源花园三期,55834,7
海湾明珠,55271,16
宝田苑,51105,0
碧波花园北区,63590,0
碧波花园南区,63799,0
华港新村,暂无,1
金穗居,暂无,0
太宁路147号,暂无,0
波托菲诺纯水岸七期,91886,2
南侨花园,暂无,0
安业花园,43446,4
鹏城公寓,暂无,0
锦绣花园一期,69377,10
百仕达东郡,73157,27
育才花园,暂无,0
卓越浅水湾,105912,2
华港新村,暂无,1
金穗居,暂无,0
福乐雅苑,57307,0
鸿基花园,44036,2
翠都花园,40284,3
翠竹苑,58474,10
柏丽花园,61378,7
益田点彩人家,57490,3
益田花园二期,63035,4
江南名苑,53752,4
益田村,60438,83
缤纷时代家园,68193,22
新丰大厦,40415,6
城市东座,52763,9
聚宝花园,43827,7
贝丽南路40号,66627,0
东海十八居,113881,0
朗钜御风庭,47618,24
纯海岸,112250,2
名阳阁,暂无,0
海怡东方花园,111953,6
科技园三十四区,72128,2
东方大厦家属楼,56211,2
荔芳村,51482,4
桑达苑,77221,0
和成世纪名园,49975,20
蔚蓝海岸3期,90911,10
天俊大厦,43579,17
兴业大厦,37169,1
东方皇宫,40378,3
南洋大厦,38561,6
康乐大厦,49478,13
西海明珠花园,61319,15
滢水山庄,42001,14
碧海富通城四期,59481,17
红岗花园,45876,4
纯海岸,112250,2
名阳阁,暂无,0
海怡东方花园,111953,6
嘉年华名苑,61581,5
合正荣悦,83190,16
鸿业苑一期,55900,1
绿景公馆1866北区,72381,14
鸿基大厦,41909,4
新丰大厦,40415,6
韵动家园,56264,53
东门168,69891,36
凯悦华庭,44823,16
莱蒙水榭春天A区6期,80759,1
凉果街5号大院,52279,1
熙龙大厦,34526,0
深圳房地产大厦,暂无,0
广东省银行大厦,32677,2
旺业豪苑,44166,22
东和花园,34483,1
东华明珠园,47912,11
